provider,source_key,year,instrument,url,status,remote_size_mb,cached,gom_profiles,usable_profiles,notes
ERDDAP_GLIDER,mote-genie-20170901T1757,,glider,https://gliders.ioos.us/erddap/tabledap/mote-genie-20170901T1757.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-genie-20170901T1757; institution=Mote Marine Lab; variables=conductivity,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-genie-20171027T2222,,glider,https://gliders.ioos.us/erddap/tabledap/mote-genie-20171027T2222.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-genie-20171027T2222; institution=Mote Marine Lab; variables=conductivity,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,Reveille-20170925T0946,,glider,https://gliders.ioos.us/erddap/tabledap/Reveille-20170925T0946.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=Reveille-20170925T0946; institution=TAMU_GERG; variables=conductivity,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20240307T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20240307T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20240307T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-holly-20250219T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-holly-20250219T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-holly-20250219T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20240418T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20240418T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20240418T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20240716T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20240716T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20240716T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20240819T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20240819T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20240819T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20241016T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20241016T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20241016T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-dora-20241112T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-dora-20241112T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-dora-20241112T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
