provider,source_key,year,instrument,url,status,remote_size_mb,cached,gom_profiles,usable_profiles,notes
ERDDAP_GLIDER,ioos-gliderdac-Sam-20170516T1416,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-Sam-20170516T1416.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Demonstration of Fisheries Assessment Application for Underwater Gliders. - Sam-20170516T1416; institution=USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag"
ERDDAP_GLIDER,ioos-gliderdac-Sam-20170214T1609,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-Sam-20170214T1609.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - Demonstration of Fisheries Assessment Application for Underwater Gliders. - Sam-20170214T1609; institution=USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag"
ERDDAP_GLIDER,ioos-gliderdac-stella-20201014T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-stella-20201014T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - SECOORA Glider Observatory - stella-20201014T0000; institution=University of South Florida College of Marine Science Ocean Technology Group; variables=conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,lat_uv,latitude,lon_uv,longitude,m_altitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag"
ERDDAP_GLIDER,ioos-gliderdac-bass-20150706T151619Z,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-bass-20150706T151619Z.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - bass-20150706T151619Z; institution=USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,platform_meta,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag"
ERDDAP_GLIDER,ioos-gliderdac-bass-20150827T1909,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-bass-20150827T1909.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - FWRI HAB Research - bass-20150827T1909; institution=USF; variables=conductivity,conductivity_qc,density,density_qc,depth,depth_qc,instrument_ctd,lat_qc,lat_uv,lat_uv_qc,latitude,lon_qc,lon_uv,lon_uv_qc,longitude,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_id,profile_lat_qc,profile_lon_qc,profile_time_qc,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag"
ERDDAP_GLIDER,ioos-gliderdac-jaialai-20220225T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-jaialai-20220225T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - SECOORA Regional Glider Component: Red Tide Research - jaialai-20220225T0000; institution=University of South Florida College of Marine Science Ocean Technology Group; variables=c_wpt_lat,c_wpt_lon,conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,m_ballast_pumped,m_battery,m_battpos,m_coulomb_amphr_total,m_depth,m_gps_lat,m_gps_lon,m_heading,m_lat,m_leakdetect_voltage,m_lon"
ERDDAP_GLIDER,ioos-gliderdac-jaialai-20220413T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-jaialai-20220413T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - SECOORA Regional Glider Component: Red Tide Research - jaialai-20220413T0000; institution=University of South Florida College of Marine Science Ocean Technology Group; variables=c_wpt_lat,c_wpt_lon,conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,m_ballast_pumped,m_battery,m_battpos,m_coulomb_amphr_total,m_depth,m_gps_lat,m_gps_lon,m_heading,m_lat,m_leakdetect_voltage,m_lon"
ERDDAP_GLIDER,ioos-gliderdac-usf-sam-20240719T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-usf-sam-20240719T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=(SECOORA) Glider - SECOORA Hurricane Gliders - usf-sam-20240719T0000; institution=University of South Florida; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-laurent-auv-ctd,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-laurent-auv-ctd.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - Use of an autonomous underwater vehicle (AUV) for cost-effective assessment of fish utilization of ar; institution=FAU; variables=battery,bottom_depth,conductivity,conductivity_nlf,crs,dissolved_oxygen_mg,dissolved_oxygen_saturation,dissolved_oxygen_saturation_local,latitude,longitude,power,pressure,salinity,specific_conductance,tds,time,trajectory,vertical_position,water_temperature,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-boem-fact-wave-boem-fact-NovDec2017,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-boem-fact-wave-boem-fact-NovDec2017.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - NASA/BOEM Canaveral Wave Gliders - BOEM FACT Carnaval Wave Glider Deployment: Nov-Dec 2017; institution=Unknown; variables=air_pressure,air_temperature,cdom_fluorometer,chlorophyll_a_fluorometer,crs,current_direction,current_speed,dissolved_oxygen_hobo,fish_detections,heading,latitude,longitude,notes_fluorometer,speed,time,trajectory,turbidity_fluorometer,water_temperature_fluorometer,water_temperature_hobo,wind_direction,wind_gust,wind_speed,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-001,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-001.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - NASA/BOEM Canaveral Wave Gliders - BOEM FACT Carnaval Wave Glider Deployment: BOEM_MMP_2018_001; institution=Unknown; variables=air_pressure,air_temperature,bony_fish_detections,cdom_fluorometer,chlorophyll_a_fluorometer,crs,current_direction,current_speed,dissolved_oxygen_adjusted_hobo,dissolved_oxygen_hobo,dissolved_oxygen_sat_hobo,heading,latitude,longitude,notes_fluorometer,payload_data,shark_detections,speed,time,trajectory,turbidity_fluorometer,water_temperature_fluorometer,water_temperature_hobo,wind_direction,wind_gust,wind_speed,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-004,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-004.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - NASA/BOEM Canaveral Wave Gliders - BOEM FACT Carnaval Wave Glider Deployment: BOEM_MMP_2018_004; institution=Unknown; variables=air_pressure,air_temperature,bony_fish_detections,cdom_fluorometer,chlorophyll_a_fluorometer,crs,current_direction,current_speed,dissolved_oxygen_adjusted_hobo,dissolved_oxygen_hobo,dissolved_oxygen_sat_hobo,heading,latitude,longitude,notes_fluorometer,payload_data,ray_detections,shark_detections,speed,time,trajectory,turbidity_fluorometer,unknown_detections,water_temperature_fluorometer,water_temperature_hobo,wind_direction,wind_gust,wind_speed,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-002,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-002.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - NASA/BOEM Canaveral Wave Gliders - BOEM FACT Carnaval Wave Glider Deployment: BOEM_MMP_2018_002; institution=Unknown; variables=air_pressure,air_temperature,bony_fish_detections,cdom_fluorometer,chlorophyll_a_fluorometer,crs,current_direction,current_speed,dissolved_oxygen_adjusted_hobo,dissolved_oxygen_hobo,dissolved_oxygen_sat_hobo,heading,latitude,longitude,notes_fluorometer,payload_data,ray_detections,sea_turtle_detections,shark_detections,speed,time,trajectory,turbidity_fluorometer,water_temperature_fluorometer,water_temperature_hobo,wind_direction,wind_gust,wind_speed,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-003,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-boem-fact-wave-BOEM-MMP-2018-003.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - NASA/BOEM Canaveral Wave Gliders - BOEM FACT Carnaval Wave Glider Deployment: BOEM_MMP_2018_003; institution=Unknown; variables=air_pressure,air_temperature,bony_fish_detections,cdom_fluorometer,chlorophyll_a_fluorometer,crs,current_direction,current_speed,dissolved_oxygen_adjusted_hobo,dissolved_oxygen_hobo,dissolved_oxygen_sat_hobo,heading,latitude,longitude,notes_fluorometer,payload_data,sea_turtle_detections,shark_detections,speed,time,trajectory,turbidity_fluorometer,unknown_detections,water_temperature_fluorometer,water_temperature_hobo,wind_direction,wind_gust,wind_speed,z"
ERDDAP_GLIDER,ioos-gliderdac-bass-20200203T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-bass-20200203T0000.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - SECOORA Regional Glider Component: Gulf Stream Analysis - bass-20200203T0000; institution=University of South Florida College of Marine Science Ocean Technology Group; variables=conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag,qartod_pressure_spike_flag,rowsize,salinity"
ERDDAP_GLIDER,axiom-netcdf-harvest-seamap-seamap-rfs,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-seamap-seamap-rfs.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - Reef Fish Survey: Hydrocast - Reef Fish Survey: Hydrocast; institution=SEAMAP; variables=backscatter,beamatten,beamtrans,chla,crs,datasetid,event,gearcode,geardescription,hydroevent,instrument,latitude,longitude,no2,no3,oxygen,par,po4,pressure,salinity,setevent,stationtype,temp,time,turbidity,vessel,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-socan-GU-15-04-ECOA1-1434765195-1437670876,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-socan-GU-15-04-ECOA1-1434765195-1437670876.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - ECOA1 - ECOA1 Discrete Sampling: Dissolved inorganic carbon, total alkalinity, pH, nutrients and othe; institution=NOAA OAP; variables=cdom,chl_a,latitude,longitude,nitrate,nitrate_nitrite,nitrite,nitrogen,oxygen_concentration,ph,phosphate,pressure,profile,salinity,silicate,temperature,time,z"
ERDDAP_GLIDER,axiom-netcdf-harvest-secoora-fau-hboi-wave-fau-hboi-wave-glider-2016,,glider,https://erddap.secoora.org/erddap/tabledap/axiom-netcdf-harvest-secoora-fau-hboi-wave-fau-hboi-wave-glider-2016.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - FAU HBOI Wave Gliders - HBOI SV3 Wave Glider Deployment - August 17-20, 2016; institution=Unknown; variables=battery_0,battery_1,cable_power,conductivity,conductivity_nlf,crs,current_direction,current_speed,desired_heading,dissolved_oxyen,dissolved_oxygen_percent,distance_over_ground,fault_code,float_pressure,float_temp,ground_speed,latitude,longitude,ph,ph_mv,platform_direction,platform_speed,pog,pressure,salinity,signal_strength,specific_conductance,sub_heading,target,temperature"
ERDDAP_GLIDER,ioos-gliderdac-unit-1091-20230804T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-unit-1091-20230804T0000.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - SECOORA Hurricane Gliders 2023 - unit_1091-20230804T0000; institution=Skidaway Institute of Oceanography; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,ioos-gliderdac-angus-20211110T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-angus-20211110T0000.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - SECOORA Glider Observatory - angus-20211110T0000; institution=Skidaway Institute of Oceanography; variables=c_wpt_lat,c_wpt_lon,conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,m_ballast_pumped,m_battery,m_battpos,m_coulomb_amphr_total,m_depth,m_gps_lat,m_gps_lon,m_heading,m_lat,m_lon,m_pitch"
ERDDAP_GLIDER,ioos-gliderdac-franklin-20230804T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-franklin-20230804T0000.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - SECOORA Hurricane Gliders 2023 - franklin-20230804T0000; institution=Skidaway Institute of Oceanography; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag"
ERDDAP_GLIDER,ioos-gliderdac-angus-20220404T0000,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-angus-20220404T0000.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - NSF/Smart and Autonomous Systems: Fisheries Management at Gray's Reef - angus-20220404T0000; institution=Skidaway Institute of Oceanography; variables=c_wpt_lat,c_wpt_lon,conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,m_ballast_pumped,m_battery,m_battpos,m_coulomb_amphr_total,m_depth,m_gps_lat,m_gps_lon,m_heading,m_lat,m_lon,m_pitch"
ERDDAP_GLIDER,ioos-gliderdac-ramses-20160909T2028,,glider,https://erddap.secoora.org/erddap/tabledap/ioos-gliderdac-ramses-20160909T2028.html,profile_candidate,,False,candidate,,"search=glider temperature depth; search_status=available; title=(SECOORA) Glider - ramses-20160909T2028; institution=UNC Marine Sciences; variables=conductivity,crs,density,depth,instrument_altimeter,instrument_altitude,instrument_ctd,instrument_dissolved_oxygen,instrument_fluorometer,instrument_gps,instrument_irradiance,instrument_radiance,lat_uv,latitude,lon_uv,longitude,m_altitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag"
